GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 36
TotalNumTrainingExamples: 26
NumberOfClasses: 1
ClassIDsAndCounters: 
1	26
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 37
TimeSeriesData: 
-72.1139	349.44	101.562	0.734042	-0.564601	-2.52951	-145.566	330	91.6653	0.38811	-1.08236	-1.78473	-138.343	382.956	36.0589	0.0871805	-0.57254	-1.70557	-117.955	380.25	12.8028	0.0862158	-0.473249	-1.73801	-98.8923	371.808	10.3517	-0.0514768	-0.518394	-1.48072	-67.3606	355.729	18.3186	-0.0575911	-0.462692	-1.45572
-69.3261	347.927	101.877	0.716614	-0.557628	-2.52025	-142.429	327.971	91.7961	0.347409	-1.06287	-1.76969	-136.437	381.362	36.1953	0.0698083	-0.561861	-1.68141	-115.695	379.287	12.5481	0.0696055	-0.462141	-1.70986	-96.5742	370.193	10.0463	-0.0676722	-0.506207	-1.44915	-65.1772	354.573	17.7822	-0.0772132	-0.451703	-1.41266
-64.636	345.912	101.73	0.709589	-0.543792	-2.52819	-136.975	324.967	90.8951	0.305151	-1.02495	-1.75984	-132.249	378.861	35.4525	0.065398	-0.535702	-1.68068	-110.471	377.618	11.3646	0.0665877	-0.435491	-1.71315	-90.9782	367.439	8.9002	-0.0751609	-0.477448	-1.42626	-59.6619	352.704	16.4604	-0.0796987	-0.422419	-1.39494
-48.3151	342.537	99.959	0.645081	-0.467555	-2.55061	-120.404	319.402	86.5359	0.232778	-0.948777	-1.73916	-114.606	372.187	29.6435	0.00685184	-0.486862	-1.58374	-89.1478	372.228	5.06577	0.018451	-0.38015	-1.61694	-68.3139	359.128	3.60544	-0.127995	-0.424453	-1.29336	-36.7954	346.578	12.0993	-0.125131	-0.365823	-1.25352
-39.0559	341.952	98.6409	0.617346	-0.431179	-2.5666	-112.422	318.122	84.0839	0.206551	-0.916153	-1.73026	-105.292	369.776	26.1387	-0.0182132	-0.463204	-1.53434	-78.5705	369.997	1.83894	-0.00208841	-0.353485	-1.56514	-57.228	356.158	1.08681	-0.144994	-0.396143	-1.23491	-25.7729	344.158	10.5129	-0.14141	-0.333304	-1.18069
-23.8859	341.485	97.0263	0.575626	-0.335186	-2.64896	-97.2193	316.856	78.47	0.173421	-0.828036	-1.73027	-86.2735	366.396	19.2646	-0.047562	-0.388768	-1.45511	-56.8264	366.581	-3.50862	-0.0273634	-0.274256	-1.47382	-34.2419	353.741	-2.73968	-0.121293	-0.299642	-1.195	-3.89015	340.661	9.60368	-0.156353	-0.241388	-1.00125
-10.3583	341.189	95.5614	0.554801	-0.249581	-2.75138	-83.1052	317.025	72.3793	0.16063	-0.748387	-1.74354	-66.71	364.742	12.9304	-0.0572438	-0.316313	-1.39747	-34.8638	365.093	-7.68732	-0.0306591	-0.198124	-1.4192	-11.5836	353.983	-5.41841	-0.0960923	-0.214125	-1.15357	16.886	338.437	9.72035	-0.159975	-0.158816	-0.781701
2.7872	341.556	93.9177	0.52372	-0.158915	-2.87089	-68.7956	317.975	65.9784	0.142598	-0.667456	-1.75099	-46.3263	363.602	6.71304	-0.0766984	-0.245361	-1.27302	-12.6718	363.564	-11.4465	-0.0500927	-0.125244	-1.19184	10.2093	352.406	-7.2464	-0.112043	-0.142589	-0.90606	36.6685	335.764	10.4068	-0.182191	-0.0859234	-0.437338
14.9498	342.732	93.0739	0.51255	-0.070942	-3.01597	-55.3346	320.787	60.1751	0.150179	-0.593057	-1.79164	-26.3044	364.578	2.07383	-0.0762431	-0.178869	-1.17103	8.33025	363.762	-13.4059	-0.054347	-0.0590115	-0.826612	30.1977	351.64	-7.45562	-0.118846	-0.0792166	-0.586708	54.6457	334.46	12.2353	-0.188748	-0.0189329	-0.0988028
25.7329	343.906	92.7471	0.529759	0.00243853	3.13743	-42.5681	324.083	54.5746	0.16971	-0.520867	-1.86104	-7.59318	367.479	-0.757603	-0.0553008	-0.109296	-1.10358	27.273	366.801	-13.511	-0.0353706	0.00547642	0.153549	48.1544	353.928	-6.30426	-0.101554	-0.0155619	-0.151551	70.7955	336.169	14.7157	-0.171533	0.0473065	0.266766
